Dt_name Cre_transcriptID	Cre_transcript_E_value	Cre_geneID	Cre_proteinID	Cre_protein_definition
Locus_159_Transcript_3/7_Confidence_0.429_Length_2507	CHLREDRAFT116375	3e-146	e_gwW.1.50.1	Cre01.g039350.t1.1	P450 reductase 1
Locus_160_Transcript_12/12_Confidence_0.593_Length_3389	CHLREDRAFT196568	0.0	LOH_estExt_fgenesh2_kg.C_710008	Cre07.g356350.t1.1	Deoxyxylulose-5-phosphate synthase
Locus_162_Transcript_2/2_Confidence_0.667_Length_1095	CHLREDRAFT344487	2e-95	estExt_fgenesh1_pg.C_chromosome_60719	Cre06.g300700.t1.1	NAD(P)-binding Rossmann-fold superfamily protein
Locus_163_Transcript_1/1_Confidence_1.000_Length_1604	CHLREDRAFT307610	9e-97	kg.chromosome_6_#_1881_#_XP_001695358.1	Cre06.g286050.t1.1	Mitochondrial substrate carrier family protein
Locus_164_Transcript_1/1_Confidence_1.000_Length_1720	CHLREDRAFT194316	1e-161	estExt_fgenesh2_pg.C_590022	Cre15.g643550.t1.1	Aldolase-type TIM barrel family protein
Locus_165_Transcript_3/5_Confidence_0.615_Length_2986	CHLREDRAFT153191	3e-31	Chlre2_kg.scaffold_56000008	Cre12.g495650.t1.1	NA
Locus_166_Transcript_1/2_Confidence_0.875_Length_2212	CHLREDRAFT126518	1e-152	estExt_gwp_1H.C_50072	Cre02.g107300.t1.1	dihydrodipicolinate synthase
Locus_167_Transcript_1/3_Confidence_0.615_Length_849	CHLREDRAFT127247	2e-47	estExt_gwp_1H.C_40068	Cre10.g459250.t1.1	Ribosomal protein L35Ae family protein
Locus_170_Transcript_3/3_Confidence_0.600_Length_926	CHLREDRAFT174711	8e-61	fgenesh2_pg.C_scaffold_26000093	Cre06.g282500.t1.1	ribosomal protein L23AA
Locus_174_Transcript_3/26_Confidence_1.000_Length_355	CHLREDRAFT93901	1e-31	fgenesh1_est.C_scaffold_2000026	
Locus_174_Transcript_17/26_Confidence_0.040_Length_894	CHLREDRAFT392812	2e-23	pasa_Sanger_mRNA29953	Cre07.g314850.t1.2	Glycosyl hydrolase superfamily protein
Locus_174_Transcript_25/26_Confidence_0.224_Length_4827	CHLREDRAFT323965	0.0	pg.chromosome_1_#_754	Cre01.g054800.t1.1	NA
Locus_177_Transcript_15/17_Confidence_0.698_Length_2978	CHLREDRAFT185673	0.0	estExt_fgenesh2_kg.C_640006	Cre08.g372100.t1.1	heat shock protein 70B
Locus_178_Transcript_14/17_Confidence_0.557_Length_3367	CHLREDRAFT138117	0.0	estExt_gwp_1W.C_250014	Cre09.g386750.t1.1	HEAT SHOCK PROTEIN 81.4
Locus_178_Transcript_16/17_Confidence_0.101_Length_1357	CHLREDRAFT195847	1e-59	PIE_chlre3.38.118.3.31	Cre13.g600300.t1.2	SERINE-ARGININE PROTEIN 30
Locus_179_Transcript_2/2_Confidence_0.667_Length_659	CHLREDRAFT143072	2e-74	Chlre2_kg.scaffold_4000195	Cre10.g456200.t1.1	Ribosomal protein S24e family protein
Locus_182_Transcript_2/2_Confidence_0.667_Length_805	CHLREDRAFT180130	6e-88	fgenesh2_pg.C_scaffold_83000034	Cre12.g514500.t1.1	Nucleic acid-binding, OB-fold-like protein
Locus_184_Transcript_1/3_Confidence_0.375_Length_1241	CHLREDRAFT195605	1e-86	MAY_chlre3.3.122.1.1	Cre06.g272800.t1.1	Ribosomal protein S8e family protein
Locus_187_Transcript_3/5_Confidence_0.733_Length_4133	CHLREDRAFT206035	0.0	OVA_e_gwW.32.1.1	Cre17.g723250.t1.1	Insulinase (Peptidase family M16) family protein
Locus_188_Transcript_1/1_Confidence_1.000_Length_1825	CHLREDRAFT76989	1e-156	estExt_GenewiseW_1.C_30554	Cre06.g260100.t1.1	UDP-galactose transporter 5
Locus_190_Transcript_3/3_Confidence_0.714_Length_1464	CHLREDRAFT196520	3e-174	JLM_estExt_gwp_1W.C_250131	Cre09.g386650.t1.1	ADP/ATP carrier 3
Locus_192_Transcript_3/3_Confidence_0.786_Length_2997	CHLREDRAFT152708	0.0	Chlre2_kg.scaffold_50000042	Cre07.g336950.t1.1	alpha-glucan phosphorylase 2
Locus_193_Transcript_4/4_Confidence_0.600_Length_1332	CHLREDRAFT206548	4e-51	SKA_fgenesh2_kg.C_scaffold_74000005	Cre05.g233900.t1.1	ascorbate peroxidase 4
Locus_194_Transcript_6/7_Confidence_0.500_Length_1288	CHLREDRAFT205987	5e-56	SKA_Chlre2_kg.scaffold_27000158	Cre01.g058300.t1.1	zinc transporter of Arabidopsis thaliana
Locus_195_Transcript_4/10_Confidence_0.323_Length_920	CHLREDRAFT196845	1e-94	OVA_estExt_fgenesh2_pg.C_220172	Cre09.g396400.t1.1	related to ubiquitin 1
Locus_195_Transcript_9/10_Confidence_0.387_Length_660	CHLREDRAFT195594	9e-81	MAY_e_gwH.52.39.1	Cre01.g007051.t1.1	Ubiquitin supergroup;Ribosomal protein L40e
Locus_195_Transcript_10/10_Confidence_0.355_Length_375	CHLREDRAFT140045	2e-51	estExt_gwp_1W.C_660019	
Locus_197_Transcript_1/2_Confidence_0.667_Length_1502	CHLREDRAFT317639	8e-174	kg.chromosome_14_#_417_#_chlre3.17.161.1.1	Cre14.g624350.t1.1	gamma-tocopherol methyltransferase
Locus_199_Transcript_3/5_Confidence_0.571_Length_3445	CHLREDRAFT149311	0.0	Chlre2_kg.scaffold_26000046	Cre06.g280350.t1.1	Transducin/WD40 repeat-like superfamily protein
Locus_201_Transcript_4/4_Confidence_0.769_Length_1865	CHLREDRAFT24084	0.0	estExt_fgenesh1_pm.C_110016	Cre12.g510650.t1.1	high cyclic electron flow 1
Locus_202_Transcript_1/3_Confidence_0.500_Length_462	CHLREDRAFT195601	4e-53	MAY_e_gwH.78.57.1	Cre12.g498250.t1.1	Ribosomal S17 family protein
Locus_203_Transcript_4/4_Confidence_0.667_Length_931	CHLREDRAFT292075	1e-88	au.g9990_t1	Cre26.g773000.t1.2	nucleoside diphosphate kinase 2
Locus_204_Transcript_4/4_Confidence_0.765_Length_2208	CHLREDRAFT344957	7e-63	estExt_fgenesh1_pg.C_chromosome_80053	Cre08.g361984.t1.1	NA
Locus_207_Transcript_1/1_Confidence_1.000_Length_987	CHLREDRAFT147004	7e-41	Chlre2_kg.scaffold_1000828	Cre14.g617900.t1.1	Ribosomal L29 family protein
Locus_208_Transcript_1/3_Confidence_0.250_Length_878	CHLREDRAFT195587	1e-88	MAY_e_gwW.1.736.1	Cre01.g027000.t1.1	ribosomal protein large subunit 16A
Locus_210_Transcript_4/5_Confidence_0.357_Length_1845	CHLREDRAFT8449	3e-10	fgenesh1_pg.C_scaffold_6000416	Cre14.g619854.t1.1	exostosin family protein
Locus_210_Transcript_5/5_Confidence_0.500_Length_1222	CHLREDRAFT341326	4e-110	pm.chromosome_17_#_247	Cre17.g718300.t1.2	CHY-type/CTCHY-type/RING-type Zinc finger protein
Locus_217_Transcript_3/3_Confidence_0.600_Length_773	CHLREDRAFT195628	1e-41	MAY_159470	Cre06.g264300.t1.1	S15/NS1, RNA-binding protein
Locus_218_Transcript_1/1_Confidence_1.000_Length_893	CHLREDRAFT195593	4e-112	MAY_e_gwW.77.18.1	Cre08.g359750.t1.1	Ribosomal protein S4
Locus_220_Transcript_8/9_Confidence_0.321_Length_1267	CHLREDRAFT135220	0.0	estExt_gwp_1W.C_90259	Cre03.g175400.t1.1	Sugar isomerase (SIS) family protein
Locus_224_Transcript_30/499_Confidence_1.000_Length_1069	CHLREDRAFT137163	5e-149	estExt_gwp_1W.C_190236	Cre03.g194850.t1.1	malate dehydrogenase
Locus_224_Transcript_39/499_Confidence_1.000_Length_910	CHLREDRAFT146566	1e-50	Chlre2_kg.scaffold_1000390	Cre01.g032250.t1.2	NA
Locus_224_Transcript_41/499_Confidence_1.000_Length_923	CHLREDRAFT347576	5e-68	estExt_fgenesh1_pg.C_chromosome_160588	Cre16.g690350.t1.2	SNARE associated Golgi protein family
Locus_224_Transcript_71/499_Confidence_1.000_Length_1028	CHLREDRAFT345688	1e-52	estExt_fgenesh1_pg.C_chromosome_100481	Cre03.g172900.t1.2	NA
Locus_224_Transcript_93/499_Confidence_1.000_Length_1054	CHLREDRAFT60124	3e-102	estExt_GenewiseH_1.C_780020	Cre12.g497750.t1.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Locus_224_Transcript_96/499_Confidence_1.000_Length_749	CHLREDRAFT121355	3e-71	e_gwW.45.29.1	Cre16.g669800.t1.1	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
Locus_224_Transcript_111/499_Confidence_1.000_Length_772	CHLREDRAFT407917	2e-09	pasa_Sanger_mRNA35831	Cre38.g785550.t1.2	plant UBX domain-containing protein 2
Locus_224_Transcript_116/499_Confidence_1.000_Length_1813	CHLREDRAFT426044	4e-21	pasa_Sanger_mRNA7208	Cre15.g640950.t1.2	Ankyrin repeat family protein
Locus_224_Transcript_133/499_Confidence_1.000_Length_441	CHLREDRAFT186972	6e-40	estExt_fgenesh2_pg.C_50429	Cre02.g096300.t1.2	NA
Locus_224_Transcript_136/499_Confidence_1.000_Length_1185	CHLREDRAFT29247	1e-17	estExt_fgenesh1_pg.C_50057	Cre02.g114900.t1.2	XB3 ortholog 1 in Arabidopsis thaliana
Locus_224_Transcript_144/499_Confidence_1.000_Length_582	CHLREDRAFT121098	2e-55	e_gwW.42.6.1	Cre01.g068600.t1.2	tRNA modification GTPase, putative
Locus_224_Transcript_189/499_Confidence_1.000_Length_611			Cre06.g287650.t1.1	XB3 ortholog 1 in Arabidopsis thaliana
Locus_224_Transcript_191/499_Confidence_1.000_Length_683	CHLREDRAFT307660	5e-89	kg.chromosome_6_#_1931_#_XP_001695501.1	
Locus_224_Transcript_213/499_Confidence_1.000_Length_708	CHLREDRAFT402783	3e-40	pasa_Sanger_mRNA26846	Cre06.g287950.t1.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_224_Transcript_219/499_Confidence_1.000_Length_1029	CHLREDRAFT206095	1e-178	SKA_estExt_gwp_1H.C_80137	Cre10.g428650.t1.1	geminivirus rep interacting kinase 2
Locus_224_Transcript_222/499_Confidence_1.000_Length_576	CHLREDRAFT132151	4e-59	estExt_gwp_1H.C_450123	Cre01.g063200.t1.1	mitochondrial acyl carrier protein 2
Locus_224_Transcript_254/499_Confidence_1.000_Length_906	CHLREDRAFT381234	1e-168	estExt_fgenesh1_pm.C_chromosome_160083	Cre16.g657350.t1.1	Protein kinase superfamily protein
Locus_224_Transcript_266/499_Confidence_1.000_Length_1583	CHLREDRAFT152316	6e-24	Chlre2_kg.scaffold_47000079	Cre06.g304000.t1.1	zinc ion binding;DNA binding;helicases;ATP binding;nucleic acid binding
Locus_224_Transcript_293/499_Confidence_1.000_Length_298			Cre12.g557850.t1.2	NA
Locus_224_Transcript_493/499_Confidence_0.007_Length_1223	CHLREDRAFT151833	4e-87	Chlre2_kg.scaffold_41000025	Cre18.g744400.t1.1	photosynthetic electron transfer C
Locus_224_Transcript_496/499_Confidence_0.031_Length_5875	CHLREDRAFT410707	3e-41	pasa_Sanger_mRNA25480	
Locus_224_Transcript_497/499_Confidence_0.005_Length_2771	CHLREDRAFT195230	0.0	estExt_fgenesh2_pg.C_950020	Cre41.g786600.t1.1	nucleotide transporter 1
Locus_225_Transcript_1/3_Confidence_0.600_Length_1383	CHLREDRAFT168484	1e-140	fgenesh2_pg.C_scaffold_2000130	Cre13.g568650.t1.1	Ribosomal protein S3Ae
Locus_226_Transcript_4/10_Confidence_0.151_Length_2112	CHLREDRAFT134382	0.0	estExt_gwp_1W.C_30492	Cre12.g498600.t1.1	GTP binding Elongation factor Tu family protein
Locus_228_Transcript_1/1_Confidence_1.000_Length_745	CHLREDRAFT162845	1e-98	fgenesh2_kg.C_scaffold_18000054	Cre12.g532550.t1.2	Ribosomal protein L13 family protein
Locus_231_Transcript_1/1_Confidence_1.000_Length_990	CHLREDRAFT144281	7e-109	Chlre2_kg.scaffold_10000161	Cre10.g436500.t1.1	Survival protein SurE-like phosphatase/nucleotidase
Locus_232_Transcript_5/6_Confidence_0.364_Length_2522	CHLREDRAFT82986	3e-59	estExt_GenewiseW_1.C_790051	Cre02.g120100.t1.1	ribulose bisphosphate carboxylase small chain 1A
Locus_233_Transcript_1/2_Confidence_0.231_Length_619	CHLREDRAFT82172	3e-31	estExt_GenewiseW_1.C_490026	Cre17.g738300.t1.1	60S acidic ribosomal protein family
Locus_234_Transcript_1/2_Confidence_0.667_Length_1169	CHLREDRAFT195620	2e-62	MAY_chlre3.5.118.2.11	Cre02.g108850.t1.1	Ribosomal protein L17 family protein
Locus_236_Transcript_13/14_Confidence_0.299_Length_4569	CHLREDRAFT206108	3e-173	SKA_Chlre2_kg.scaffold_10000167	Cre09.g393650.t1.1	PAS domain-containing protein tyrosine kinase family protein
Locus_238_Transcript_1/2_Confidence_0.833_Length_1058	CHLREDRAFT377393	2e-37	estExt_fgenesh1_pm.C_chromosome_20743	Cre02.g140750.t1.1	NA
Locus_240_Transcript_4/10_Confidence_0.519_Length_3140	CHLREDRAFT60444	2e-170	estExt_GenewiseH_1.C_880013	Cre12.g483950.t1.1	Lactate/malate dehydrogenase family protein
Locus_242_Transcript_1/1_Confidence_1.000_Length_944	CHLREDRAFT130473	1e-102	estExt_gwp_1H.C_280106	Cre01.g066000.t1.1	NA
Locus_243_Transcript_7/7_Confidence_0.731_Length_3389	CHLREDRAFT296325	7e-18	au.g13980_t1	Cre07.g327100.t1.1	NA
Locus_244_Transcript_1/2_Confidence_0.750_Length_1416	CHLREDRAFT150644	5e-48	Chlre2_kg.scaffold_31000010	Cre12.g529400.t1.1	ribosomal protein S27
Locus_245_Transcript_1/1_Confidence_1.000_Length_1257	CHLREDRAFT134051	2e-123	estExt_gwp_1W.C_50230	Cre02.g102250.t1.1	Ribosomal protein S3 family protein
Locus_246_Transcript_1/1_Confidence_1.000_Length_751	CHLREDRAFT289638	2e-35	au.g7727_t1	Cre17.g734150.t1.2	TIP41-like family protein
Locus_248_Transcript_1/1_Confidence_1.000_Length_2121	CHLREDRAFT183011	7e-64	estExt_fgenesh2_kg.C_110026	Cre12.g504950.t1.1	uricase / urate oxidase / nodulin 35, putative
Locus_252_Transcript_3/3_Confidence_0.714_Length_1205	CHLREDRAFT416138	4e-11	pasa_Sanger_mRNA20877	Cre02.g118550.t1.1	NA
Locus_253_Transcript_1/10_Confidence_0.234_Length_1193	CHLREDRAFT189393	6e-55	estExt_fgenesh2_pg.C_150033	Cre04.g219850.t1.2	NA
Locus_254_Transcript_2/4_Confidence_0.357_Length_1497	CHLREDRAFT173841	1e-35	fgenesh2_pg.C_scaffold_21000136	Cre08.g378150.t1.2	glucose-6-phosphate dehydrogenase 3
Locus_256_Transcript_15/17_Confidence_0.431_Length_2886	CHLREDRAFT126835	0.0	estExt_gwp_1H.C_30261	Cre09.g393200.t1.1	mitochondrial HSO70 2
Locus_257_Transcript_8/8_Confidence_0.349_Length_1786	CHLREDRAFT184810	1e-118	estExt_fgenesh2_kg.C_320006	Cre17.g720250.t1.1	light harvesting complex photosystem II
Locus_258_Transcript_3/3_Confidence_0.500_Length_2537	CHLREDRAFT159889	2e-09	acegs_kg.scaffold_61000001	Cre15.g637050.t1.1	NA
Locus_260_Transcript_1/1_Confidence_1.000_Length_1459	CHLREDRAFT140580	2e-144	estExt_gwp_1W.C_890009	Cre12.g515850.t1.1	proliferating cellular nuclear antigen 1
Locus_265_Transcript_3/3_Confidence_0.667_Length_1616	CHLREDRAFT183518	2e-89	estExt_fgenesh2_kg.C_10006	Cre01.g011000.t1.1	Ribosomal protein L6 family protein
Locus_268_Transcript_4/4_Confidence_0.786_Length_2786	CHLREDRAFT397437	0.0	pasa_Sanger_mRNA15357	Cre16.g664850.t1.1	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Locus_269_Transcript_1/8_Confidence_0.611_Length_1933	CHLREDRAFT183048	0.0	estExt_fgenesh2_kg.C_110066	Cre12.g510050.t1.1	dicarboxylate diiron protein, putative (Crd1)
Locus_270_Transcript_2/3_Confidence_0.800_Length_2292	CHLREDRAFT196263	4e-180	MHS_fgenesh1_pg.C_scaffold_26000067	Cre06.g280950.t1.1	Pyruvate kinase family protein
Locus_271_Transcript_21/25_Confidence_0.280_Length_4451			Cre02.g137100.t1.1	NA
Locus_271_Transcript_22/25_Confidence_0.161_Length_6282	CHLREDRAFT31082	0.0	estExt_fgenesh1_pg.C_100355	Cre07.g326800.t1.2	protein phosphatase 5.2
Locus_271_Transcript_23/25_Confidence_0.137_Length_2245	CHLREDRAFT181588	2e-19	fgenesh2_pg.C_scaffold_1253000001	Cre23.g766650.t1.1	CTC-interacting domain 4
Locus_272_Transcript_1/1_Confidence_1.000_Length_1801	CHLREDRAFT195637	4e-45	MAY_e_gwH.19.249.1	Cre03.g195650.t1.1	Ribosomal protein S10p/S20e family protein
Locus_275_Transcript_1/2_Confidence_0.750_Length_1283	CHLREDRAFT164254	0.0	fgenesh2_kg.C_scaffold_38000011	Cre13.g599400.t1.1	receptor for activated C kinase 1C
Locus_276_Transcript_1/1_Confidence_1.000_Length_4259	CHLREDRAFT292576	1e-116	au.g10452_t1	Cre03.g165050.t1.1	H(+)-ATPase 4
Locus_277_Transcript_1/1_Confidence_1.000_Length_1391	CHLREDRAFT205986	2e-166	OVA_acegs_kg.scaffold_14000095	Cre16.g685550.t1.1	O-acetylserine (thiol) lyase isoform C
Locus_278_Transcript_1/2_Confidence_0.667_Length_1578	CHLREDRAFT380549	2e-115	estExt_fgenesh1_pm.C_chromosome_120849	Cre12.g557700.t1.1	glyoxalase 2-4
Locus_279_Transcript_1/1_Confidence_1.000_Length_417	CHLREDRAFT130723	2e-19	estExt_gwp_1H.C_250043	
Locus_281_Transcript_1/1_Confidence_1.000_Length_2605	CHLREDRAFT182663	0.0	estExt_fgenesh2_kg.C_20016	Cre13.g565650.t1.1	solanesyl diphosphate synthase 1
Locus_282_Transcript_1/1_Confidence_1.000_Length_1259	CHLREDRAFT403795	4e-34	pasa_Sanger_mRNA13570	Cre15.g637100.t1.1	ubiquitin family protein
Locus_283_Transcript_2/73_Confidence_1.000_Length_1093	CHLREDRAFT144583	5e-50	Chlre2_kg.scaffold_11000128	Cre22.g765550.t1.2	DNAJ heat shock N-terminal domain-containing protein
Locus_283_Transcript_72/73_Confidence_0.140_Length_8380	CHLREDRAFT185190	4e-132	estExt_fgenesh2_kg.C_400018	Cre04.g214150.t1.2	thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)
Locus_283_Transcript_73/73_Confidence_0.209_Length_9906			Cre14.g633100.t1.1	Protein of unknown function (DUF3550/UPF0682)
Locus_285_Transcript_1/1_Confidence_1.000_Length_1757	CHLREDRAFT196606	0.0	LOH_chlre3.20.176.3.11	Cre12.g546050.t1.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase
Locus_286_Transcript_13/140_Confidence_1.000_Length_1545	CHLREDRAFT343416	0.0	estExt_fgenesh1_pg.C_chromosome_30302	Cre03.g169850.t1.1	Cysteinyl-tRNA synthetase, class Ia family protein
Locus_286_Transcript_82/140_Confidence_1.000_Length_861	CHLREDRAFT326105	6e-33	pg.chromosome_3_#_860	Cre03.g209900.t1.2	ARM repeat superfamily protein
Locus_286_Transcript_137/140_Confidence_0.163_Length_7465	CHLREDRAFT182821	4e-68	estExt_fgenesh2_kg.C_90046	Cre03.g171950.t1.2	phosphoenolpyruvate carboxylase 4
Locus_289_Transcript_1/1_Confidence_1.000_Length_806	CHLREDRAFT188250	2e-62	estExt_fgenesh2_pg.C_90218	Cre03.g168050.t1.1	Transcription factor GTE6
Locus_290_Transcript_3/3_Confidence_0.667_Length_796	CHLREDRAFT142065	1e-38	Chlre2_kg.scaffold_3000038	Cre06.g273600.t1.1	Ribosomal protein S27a / Ubiquitin family protein
Locus_292_Transcript_15/19_Confidence_0.128_Length_1786	CHLREDRAFT196237	2e-109	JLM_e_gwW.24.191.1	Cre02.g144600.t1.2	phosphate transporter 2;1
Locus_292_Transcript_16/19_Confidence_0.319_Length_2663	CHLREDRAFT196438	2e-134	JLM_estExt_GenewiseW_1.C_240191	Cre02.g144700.t1.1	phosphate transporter 2;1
Locus_295_Transcript_1/1_Confidence_1.000_Length_3889	CHLREDRAFT113847	0.0	e_gwW.2.311.1	Cre13.g581850.t1.1	Protein kinase superfamily protein
Locus_297_Transcript_1/3_Confidence_0.667_Length_617	CHLREDRAFT188144	8e-94	estExt_fgenesh2_pg.C_90045	Cre03.g178150.t1.1	calmodulin 6
Locus_300_Transcript_4/4_Confidence_0.824_Length_5623	CHLREDRAFT185104	0.0	estExt_fgenesh2_kg.C_370016	Cre16.g658650.t1.1	Myosin family protein with Dil domain
Locus_301_Transcript_1/1_Confidence_1.000_Length_3570	CHLREDRAFT77047	0.0	estExt_GenewiseW_1.C_60010	Cre05.g242350.t1.1	ER-type Ca2+-ATPase 2
Locus_302_Transcript_1/10_Confidence_0.692_Length_5265	CHLREDRAFT76715	0.0	estExt_GenewiseW_1.C_30026	Cre06.g250900.t1.2	NA
Locus_303_Transcript_1/1_Confidence_1.000_Length_885	CHLREDRAFT423715	2e-18	pasa_Sanger_mRNA7125	Cre12.g510350.t1.2	NA
Locus_304_Transcript_5/5_Confidence_0.600_Length_2124	CHLREDRAFT78928	0.0	estExt_GenewiseW_1.C_10098	Cre01.g054150.t1.1	NADPH-dependent thioredoxin reductase C
Locus_305_Transcript_1/1_Confidence_1.000_Length_1824	CHLREDRAFT127976	0.0	estExt_gwp_1H.C_100263	Cre10.g439100.t1.1	T-complex protein 1 alpha subunit
Locus_306_Transcript_1/1_Confidence_1.000_Length_1980	CHLREDRAFT404724	0.0	pasa_Sanger_mRNA1641	Cre01.g000600.t1.1	WD-40 repeat family protein / notchless protein, putative
Locus_308_Transcript_1/1_Confidence_1.000_Length_2598	CHLREDRAFT205628	2e-95	SKA_estExt_fgenesh2_pg.C_220006	Cre09.g387050.t1.1	pfkB-like carbohydrate kinase family protein
Locus_309_Transcript_2/7_Confidence_0.556_Length_2026	CHLREDRAFT403501	2e-82	pasa_Sanger_mRNA34511	Cre04.g221050.t1.1	Pleckstrin homology (PH) domain-containing protein / lipid-binding START domain-containing protein
Locus_311_Transcript_6/7_Confidence_0.656_Length_2664	CHLREDRAFT152047	6e-152	Chlre2_kg.scaffold_43000011	Cre14.g611300.t1.2	NA
Locus_313_Transcript_2/3_Confidence_0.667_Length_4754	CHLREDRAFT131059	0.0	estExt_gwp_1H.C_290122	Cre08.g364800.t1.1	purine biosynthesis 4
Locus_315_Transcript_1/1_Confidence_1.000_Length_1364	CHLREDRAFT205758	0.0	SKA_fgenesh2_pg.C_scaffold_9000144	Cre03.g172550.t1.1	arginine methyltransferase 11
Locus_318_Transcript_7/7_Confidence_0.667_Length_1034	CHLREDRAFT185915	1e-62	estExt_fgenesh2_kg.C_820018	Cre03.g182551.t1.1	plastocyanin 1
Locus_320_Transcript_6/12_Confidence_0.581_Length_1630	CHLREDRAFT153678	8e-110	Chlre2_kg.scaffold_66000007	Cre18.g749750.t1.1	photosystem I light harvesting complex gene 3
Locus_324_Transcript_2/2_Confidence_0.800_Length_744	CHLREDRAFT141798	2e-57	Chlre2_kg.scaffold_5000208	Cre02.g106600.t1.1	Ribosomal protein S19e family protein
Locus_325_Transcript_2/2_Confidence_0.750_Length_1354	CHLREDRAFT136578	1e-134	estExt_gwp_1W.C_10357	Cre01.g018800.t1.1	ATPase, F0 complex, subunit A protein
Locus_326_Transcript_1/1_Confidence_1.000_Length_934	CHLREDRAFT99271	7e-38	e_gwH.2.436.1	Cre13.g581650.t1.1	ribosomal protein L12-A
Locus_328_Transcript_4/7_Confidence_0.571_Length_1233	CHLREDRAFT205891	9e-56	SKA_Chlre2_kg.scaffold_22000189	Cre09.g396950.t1.2	phosphate transporter 4;5
Locus_329_Transcript_2/5_Confidence_0.600_Length_916	CHLREDRAFT182666	9e-59	estExt_fgenesh2_kg.C_20019	Cre13.g566200.t1.1	Zinc finger C-x8-C-x5-C-x3-H type family protein
Locus_331_Transcript_1/1_Confidence_1.000_Length_1808	CHLREDRAFT148091	6e-77	Chlre2_kg.scaffold_20000233	Cre12.g552850.t1.2	Glycine cleavage T-protein family
Locus_332_Transcript_1/1_Confidence_1.000_Length_1355	CHLREDRAFT172406	3e-136	fgenesh2_pg.C_scaffold_18000072	
Locus_333_Transcript_3/9_Confidence_0.360_Length_1119	CHLREDRAFT148176	1e-58	Chlre2_kg.scaffold_22000014	
Locus_333_Transcript_4/9_Confidence_0.520_Length_2205	CHLREDRAFT148177	4e-79	Chlre2_kg.scaffold_22000015	Cre09.g387450.t1.2	NA
Locus_334_Transcript_3/3_Confidence_0.455_Length_2379	CHLREDRAFT56237	0.0	estExt_GenewiseH_1.C_10148	Cre01.g038600.t1.1	fatty acid desaturase 7
Locus_335_Transcript_1/1_Confidence_1.000_Length_1618	CHLREDRAFT157887	2e-23	acegs_kg.scaffold_20000075	Cre12.g551100.t1.1	NA
Locus_338_Transcript_6/7_Confidence_0.389_Length_1041	CHLREDRAFT188837	2e-133	estExt_fgenesh2_pg.C_120076	Cre06.g308250.t1.1	Ribosomal protein S4 (RPS4A) family protein
Locus_339_Transcript_1/4_Confidence_0.333_Length_1475	CHLREDRAFT155649	3e-81	acegs_kg.scaffold_3000024	Cre06.g272950.t1.2	Ribosomal protein S13/S18 family
Locus_341_Transcript_9/15_Confidence_0.294_Length_1987	CHLREDRAFT188173	2e-130	estExt_fgenesh2_pg.C_90102	Cre03.g174850.t1.1	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Locus_343_Transcript_8/9_Confidence_0.419_Length_1777	CHLREDRAFT194609	0.0	estExt_fgenesh2_pg.C_720023	Cre01.g005150.t1.1	alanine:glyoxylate aminotransferase
Locus_344_Transcript_8/9_Confidence_0.174_Length_2191	CHLREDRAFT132865	7e-153	estExt_gwp_1H.C_710043	Cre07.g355600.t1.1	NADPH-dependent thioredoxin reductase A
Locus_344_Transcript_9/9_Confidence_0.261_Length_550	CHLREDRAFT195592	3e-67	MAY_estExt_gwp_1W.C_370034	Cre16.g660200.t1.1	Ribosomal protein S10p/S20e family protein
Locus_346_Transcript_1/1_Confidence_1.000_Length_672			Cre11.g480150.t1.1	Ribosomal protein S11 family protein
Locus_347_Transcript_4/6_Confidence_0.625_Length_2427	CHLREDRAFT158911	0.0	acegs_kg.scaffold_31000032	Cre12.g526800.t1.1	6-phosphogluconate dehydrogenase family protein
